HP Tuners CSV Log File
Version: 1.0

[Log Information]
Creation Time: 28/07/2026 6:30:56 AM
Notes: 

[Channel Information]
0,12,2114,13,2120,66,2127,15,14100,5,6200,6210,20,24,2630,3,259,10,68,2320,2321,2301,2311,67,69,16,11,14,76,6201,73,17,2146,8,7,6,6310,9,12865,12801,47,46,6215,12866,40152
Offset,Engine RPM (SAE),Accelerator Pedal Position,Vehicle Speed (SAE),Engine Oil Pressure,Control Module Voltage (SAE),Intake Air Temp,Intake Air Temp (SAE),Trans Current Gear,Engine Coolant Temp (SAE),Injector Pulse Width Avg. Bank 1,Injector Flow Rate,O2 Voltage B1S1 (SAE),O2 Voltage B2S1 (SAE),Knock Retard,Fuel System #1 Status (SAE),Fuel System #2 Status (SAE),Fuel Pressure (SAE),Equivalence Ratio Commanded (SAE),Dynamic Airflow,Cylinder Airmass,Mass Airflow Sensor,Volumetric Efficiency Airflow,Absolute Load (SAE),Relative Throttle Position (SAE),Mass Airflow (SAE),Intake Manifold Absolute Pressure (SAE),Timing Advance (SAE),Commanded Throttle Actuator (SAE),Injector Pulse Width Avg. Bank 2,Accelerator Position D (SAE),Throttle Position (SAE),Intake Valve Temp,Short Term Fuel Trim Bank 2 (SAE),Long Term Fuel Trim Bank 1 (SAE),Short Term Fuel Trim Bank 1 (SAE),Fuel Trim Cell,Long Term Fuel Trim Bank 2 (SAE),Power Enrichment,EVAP Status,Fuel Level Input (SAE),Commanded EVAP Purge (SAE),Injector Tip Temp,DFCO Active,MPVI2.1 -> Innovate - LC-1
s,rpm,%,km/h,psi,V,°C,°C,,°C,ms,g/s,V,V,°,,,kPa,λ,g/s,g,Hz,g/s,%,%,g/s,kPa,°,%,ms,%,%,°C,%,%,%,,%,,,%,%,°C,,λ

[Channel Data]
788.907,2410.11,27.4509803922,24,52.213587803,14.692,38,38,1,94,4.7044682833,5.5458984375,0.79,0.81,0,CL - Normal,CL - Normal,399.0004161899,1,63.203125,0.395125,5988,65.640625,42.7450980392,23.9215686275,62.34,60,33.5,30.9803921569,4.5974939151,37.2549019608,34.9019607843,161.6484375,-5.46875,0,-3.90625,8,0,Off,No Fault,37.6470588235,100,55.8203125,No,1.0572
788.928,2427.12,27.4509803922,24,52.213587803,14.692,38,38,1,94,4.7107785691,5.5455395508,0.8047,0.8142,0,CL - Normal,CL - Normal,399.0004161899,1,63.6953125,0.39537,5993.04,65.7521875,42.7450980392,23.9215686275,62.3574509804,60,33.5,30.9803921569,4.5974939151,37.2549019608,34.9019607843,161.6484375,-5.46875,0,-3.90625,8,0,Off,No Fault,37.6470588235,100,55.8203125,No,1.0564
788.937,2434.41,27.4509803922,24,52.213587803,14.692,38,38,1,94,4.7134829773,5.5453857422,0.811,0.816,0,CL - Normal,CL - Normal,399.0004161899,1,63.990625,0.395685,5999.52,65.895625,42.7450980392,23.9215686275,62.5145098039,60,33.5,30.9803921569,4.5974939151,37.2549019608,34.9019607843,161.6484375,-5.46875,0,-3.90625,8,0,Off,No Fault,37.6470588235,100,55.8203125,No,1.0112
788.947,2445.75,27.4509803922,24,52.213587803,14.692,38,38,1,94,4.7176898344,5.5450439453,0.825,0.82,0,CL - Normal,CL - Normal,399.0004161899,1,64.31875,0.396035,6006.72,66.055,42.7450980392,23.9215686275,62.6890196078,60,33.5,30.9803921569,4.5974939151,37.2549019608,34.8366013072,161.6484375,-5.46875,0,-4.0364583333,8,0,Off,No Fault,37.6470588235,100,55.8203125,No,1.029
788.957,2449.2794117647,27.4509803922,24,52.213587803,14.6978823529,38,38,1,94,4.7088518992,5.5450439453,0.825,0.82,0,CL - Normal,CL - Normal,399.0004161899,1,64.84375,0.396385,6013.92,66.214375,42.7450980392,23.9215686275,62.8635294118,60,33.5,30.9803921569,4.5974939151,37.2549019608,34.7549019608,161.6484375,-5.46875,0,-4.19921875,8,0,Off,No Fault,37.6470588235,100,55.8203125,No,1.03
788.967,2455.1617647059,27.4509803922,24,52.3273428963,14.7076862745,38,38,1,94,4.6941220071,5.5460731656,0.8269607843,0.8219607843,0,CL - Normal,CL - Normal,399.0004161899,1,64.903125,0.396875,6024,66.4375,42.7450980392,23.9215686275,63.23,60,33.5,30.9803921569,4.5974939151,37.2549019608,34.6732026144,161.6484375,-5.46875,0,-4.3619791667,8,0,Off,No Fault,37.6470588235,100,55.8203125,No,0.9956
788.978,2461.6323529412,27.4509803922,24,52.4524734989,14.7184705882,38,38,1,94,4.6779191258,5.5472053079,0.8291176471,0.8241176471,0,CL - Normal,CL - Normal,399.0004161899,1,65.06640625,0.3964725,6020.22,66.50859375,42.7450980392,23.9215686275,63.23,60,33.5,30.9803921569,4.5974939151,37.2549019608,34.5098039216,161.6484375,-5.46875,0,-4.6875,8,0,Off,No Fault,37.6470588235,100,55.8203125,No,1.0704
788.987,2466.9264705882,27.4509803922,24,52.5548530828,14.7272941176,37.995991984,38,1,94,4.664662223,5.5481316062,0.8308823529,0.8258823529,0,CL - Normal,CL - Normal,399.0004161899,1,65.2,0.395955,6015.36,66.6,42.6700041719,23.9215686275,62.9772340426,59.92,33.5,30.9803921569,4.5744776752,37.2549019608,34.5098039216,161.6609375,-5.46875,0,-4.6875,8,0,Off,No Fault,37.6470588235,100,55.8203125,No,0.999
788.998,2475.75,27.4509803922,24,52.6799836854,14.742,37.9739478958,38,1,94,4.6425673848,5.5492637485,0.8330392157,0.8280392157,0,CL - Normal,CL - Normal,399.0004161899,1,65.36328125,0.3953225,6009.42,66.71171875,42.5782227785,23.9215686275,62.6682978723,59.7,33.61,30.9803921569,4.5463467154,37.2549019608,34.5098039216,161.6953125,-5.640625,0,-4.6875,8,0,Off,No Fault,37.6470588235,100,55.8203125,No,1.0694
789.007,2478.4795918367,27.4509803922,24.1020408163,52.7937387786,14.7317959184,37.9559118236,38,1,94,4.6303024951,5.5502929688,0.835,0.83,0,CL - Normal,CL - Normal,399.0004161899,1,65.5859375,0.394805,6004.56,66.803125,42.5031289111,23.9215686275,62.4155319149,59.52,33.7,30.9803921569,4.5233304755,37.2549019608,34.5098039216,161.7234375,-5.78125,0,-4.6875,8,0,Off,No Fault,37.6470588235,100,55.8203125,No,1.0076
789.017,2483.9387755102,27.4509803922,24.306122449,52.7937387786,14.7113877551,37.9358717435,38,1,94,4.6057727156,5.5517503388,0.8359183673,0.8345918367,0,CL - Normal,CL - Normal,399.0004161899,1,65.5328125,0.394,5997,66.9453125,42.3529411765,23.9215686275,61.91,59.32,33.8,30.9803921569,4.4772979957,37.2549019608,34.5098039216,161.7546875,-5.9375,0,-4.6875,8,0,Off,No Fault,37.6470588235,100,55.8203125,No,1.0538
789.027,2489.3979591837,27.4509803922,24.5102040816,52.7937387786,14.6909795918,37.9158316633,38,1,94,4.5812429362,5.5533696389,0.8369387755,0.8396938776,0,CL - Normal,CL - Normal,399.0004161899,1,65.4,0.392935,5997,66.940625,42.3215686275,23.9215686275,61.9272,59,34,30.9803921569,4.4736921182,37.2549019608,34.5098039216,161.8046875,-6.25,0,-4.6875,8,0,Off,No Fault,37.6470588235,100,55.8203125,No,1.0256
789.037,2494.8571428571,27.4509803922,24.7142857143,52.7937387786,14.6705714286,37.8957915832,38,1,94,4.5567131567,5.5549889389,0.8379591837,0.8447959184,0,CL - Normal,CL - Normal,399.0004161899,1,65.2671875,0.39116,5997,66.9328125,42.1647058824,23.9215686275,62.0132,58.9166666667,34,30.9803921569,4.4556627303,37.2549019608,34.5098039216,161.8046875,-6.25,0,-4.6875,8,0,Off,No Fault,37.6470588235,100,55.8203125,No,1.0212
789.047,2502.5,27.4509803922,25,52.7937387786,14.642,37.875751503,38,1,94,4.5223714655,5.5582275391,0.84,0.855,0,CL - Normal,CL - Normal,399.0004161899,1,65.134375,0.389385,5997,66.925,42.0078431373,23.9215686275,62.0992,58.7083333333,34,30.9034986544,4.4376333423,37.2549019608,34.5098039216,161.8046875,-6.25,0,-4.6875,8,0,Off,No Fault,37.6470588235,100,55.8203125,No,1.0492
789.057,2504.93,27.4509803922,25,52.7937387786,14.654,37.8557114228,38,1,94,4.509750894,5.5582275391,0.84,0.855,0,CL - Normal,CL - Normal,399.0004161899,1,64.921875,0.38761,5997,66.9171875,41.8509803922,23.9215686275,62.1852,58.5,34,30.8266051519,4.4196039544,37.2549019608,34.5098039216,161.8046875,-6.25,0,-4.6875,8,0,Off,No Fault,37.6470588235,100,55.8203125,No,0.9942
789.067,2508.98,27.4509803922,25,52.7937387786,14.674,37.8356713427,38,1,94,4.4887166081,5.5578125,0.837,0.854,0,CL - Normal,CL - Normal,399.0004161899,1,64.853125,0.385125,5997,66.90625,41.568627451,23.9215686275,62.34,58.2916666667,34,30.7497116494,4.3871510562,37.2549019608,34.5098039216,161.8046875,-6.25,0,-4.6875,8,0,Off,No Fault,37.6470588235,100,55.8203125,No,1.0798
789.077,2513.03,27.4509803922,25,52.7937387786,14.694,37.8156312625,38,1,94,4.4676823222,5.5573974609,0.834,0.853,0,CL - Normal,CL - Normal,399.0004161899,1,64.68125,0.38415625,5997,66.806640625,41.537254902,23.9215686275,62.3064,58,34,30.6728181469,4.382944199,37.2549019608,34.5098039216,161.8046875,-6.25,0,-4.6875,8,0,Off,No Fault,37.6470588235,100,55.8203125,No,1.0054
789.087,2517.08,27.4509803922,25,52.7937387786,14.714,37.7955911824,38,1,94,4.4466480363,5.5569824219,0.831,0.852,0,CL - Normal,CL - Normal,399.0004161899,1,64.509375,0.3825416667,5997,66.640625,41.3803921569,23.9215686275,62.1384,58,34,30.5882352941,4.3619099132,37.2549019608,34.5098039216,161.8046875,-6.25,0,-4.6875,8,0,Off,No Fault,37.6470588235,100,55.8203125,No,1.0648
789.097,2522.75,27.4509803922,25,52.7937387786,14.742,37.7755511022,38,1,94,4.4172000361,5.5561523438,0.825,0.85,0,CL - Normal,CL - Normal,399.0004161899,1,64.3375,0.3809270833,5997,66.474609375,41.2235294118,23.9215686275,61.9704,58,34.0882352941,30.5882352941,4.3408756273,37.2549019608,34.5098039216,161.8046875,-6.25,0,-4.6875,8,0,Off,No Fault,37.6470588235,100,55.8203125,No,1.0184
789.107,2525.18,27.4509803922,25.12,52.7937387786,14.736,37.755511022,38,1,94,4.4063824033,5.5561523438,0.825,0.85,0,CL - Normal,CL - Normal,399.0004161899,1,64.0625,0.3793125,5997,66.30859375,41.0666666667,23.9215686275,61.8024,58,34.1862745098,30.5882352941,4.3198413414,37.2549019608,34.5098039216,161.8046875,-6.25,0,-4.6875,8,0,Off,No Fault,37.6470588235,100,55.8203125,No,1.0386
789.117,2529.23,27.4509803922,25.32,52.7937387786,14.726,37.7354709419,38,1,94,4.3883530154,5.5577799479,0.8230392157,0.8421568627,0,CL - Normal,CL - Normal,399.0004161899,1,64.01875,0.377375,5997,66.109375,40.7843137255,23.9215686275,61.5,58,34.2843137255,30.5882352941,4.2819796268,37.2549019608,34.5098039216,161.8046875,-6.25,0,-4.6875,8,0,Off,No Fault,37.6470588235,100,55.8203125,No,1.041
789.127,2533.28,27.4509803922,25.52,52.7937387786,14.716,37.7154308617,38,1,94,4.3703236275,5.5594075521,0.8210784314,0.8343137255,0,CL - Normal,CL - Normal,399.0004161899,1,63.909375,0.376435,5997,66.039375,40.7843137255,23.9215686275,61.5164,58,34.3823529412,30.5882352941,4.2777727696,37.2549019608,34.5098039216,161.8046875,-6.25,0,-4.6875,8,0,Off,No Fault,37.6470588235,100,55.8203125,No,1.0066
789.137,2537.33,27.4509803922,25.72,52.7937387786,14.706,37.6953907816,38,1,94,4.3522942396,5.5610351563,0.8191176471,0.8264705882,0,CL - Normal,CL - Normal,399.0004161899,1,63.8,0.37526,5997,65.951875,40.7843137255,23.9215686275,61.5984,57.9215686275,34.5,30.5882352941,4.2567384837,37.2549019608,34.5098039216,161.8046875,-6.25,0,-4.6875,8,0,Off,No Fault,37.6470588235,100,55.8203125,No,1.067
789.148,2543,27.4509803922,26,52.7937387786,14.692,37.6733466934,38,1,94,4.3270530965,5.5628255208,0.8169607843,0.8178431373,0,CL - Normal,CL - Normal,399.0004161899,1,63.6796875,0.3739675,5997,65.855625,40.7843137255,23.9215686275,61.6886,57.7058823529,34.5,30.6617647059,4.2336007693,37.3284313725,34.5098039216,161.8046875,-6.396484375,0,-4.6875,8,0,Off,No Fault,37.6470588235,100,55.8203125,No,1.0028
789.157,2545.67,27.4509803922,26,52.7937387786,14.69488,37.6553106212,38,1,94,4.3180384026,5.564453125,0.815,0.81,0,CL - Normal,CL - Normal,399.0004161899,1,63.515625,0.37291,5997,65.776875,40.7843137255,23.9215686275,61.7624,57.5294117647,34.5,30.7352941176,4.214669912,37.4019607843,34.5098039216,161.8046875,-6.54296875,0,-4.6875,8,0,Off,No Fault,37.6470588235,100,55.8203125,No,1.0696
789.167,2550.12,27.4509803922,26,52.7937387786,14.69968,37.6352705411,38,1,94,4.3030139127,5.5651033363,0.8113265306,0.7934693878,0,CL - Normal,CL - Normal,399.0004161899,1,63.48125,0.3715,5997,65.671875,40.7843137255,23.9215686275,61.91,57.3333333333,34.5,30.8169934641,4.1768081974,37.4836601307,34.5098039216,161.8046875,-6.7057291667,0,-4.6875,8,0,Off,No Fault,37.6470588235,100,55.8203125,No,1.011
789.178,2555.015,27.8431372549,26,52.7937387786,14.70496,37.6132264529,38,1,94,4.2864869738,5.5658980389,0.8068367347,0.7732653061,0,CL - Normal,CL - Normal,399.0004161899,1,63.38671875,0.370825,6001.86,65.89125,40.8065112838,23.9215686275,62.0096226415,57,34.5,30.9803921569,4.1759577545,37.6470588235,34.5098039216,161.8046875,-7.03125,0,-4.6875,8,0,Off,No Fault,37.6470588235,100,55.8203125,No,1.0552
789.187,2559.02,28.2352941176,26,52.7937387786,14.70928,37.5951903808,38,1,94,4.2729649328,5.5665482502,0.8031632653,0.7567346939,0,CL - Normal,CL - Normal,399.0004161899,1,63.309375,0.37015,6006.72,66.110625,40.8731039586,23.9215686275,62.308490566,57,34.5,30.9803921569,4.1734064261,37.6470588235,34.5098039216,161.8046875,-7.03125,0,-4.6875,8,0,Off,No Fault,37.6470588235,100,55.8198242188,No,1.0252
789.197,2565.25,28.2352941176,26,52.7937387786,14.716,37.5751503006,38,1,94,4.251930647,5.5679931641,0.795,0.72,0,CL - Normal,CL - Normal,399.0004161899,1,63.2234375,0.3694,6012.12,66.354375,40.9470958195,23.9215686275,62.6405660377,57,34.5,31.0543840178,4.1705716166,37.7210506844,34.5837957825,161.8046875,-6.4416273585,0,-4.6875,8,0,Off,No Fault,37.6470588235,100,55.8181966146,No,1.018
789.207,2569.48,28.2352941176,26.12,52.7937387786,14.71,37.5551102204,38,1,94,4.2501277082,5.5679931641,0.795,0.72,0,CL - Normal,CL - Normal,399.0004161899,1,63.0859375,0.36865,6017.52,66.598125,41.0210876804,23.9215686275,62.9726415094,57,34.5,31.1283758787,4.1677368072,37.7950425453,34.6577876434,161.8046875,-5.852004717,0,-4.6875,8,0,Off,No Fault,37.6470588235,100,55.8165690104,No,1.0332
789.217,2576.53,28.2352941176,26.32,52.7937387786,14.7,37.5350701403,38,1,94,4.2471228102,5.5677298752,0.7871568627,0.657254902,0,CL - Normal,CL - Normal,399.0004161899,1,63.1257659314,0.36775,6024,66.890625,41.1764705882,23.9215686275,63.67,57,34.5,31.2023677395,4.1617837074,37.8690344062,34.7317795043,161.8046875,-5.2623820755,0,-4.6875,8,0,Off,No Fault,37.6470588235,100,55.8149414063,No,0.992
789.228,2584.285,28.2352941176,26.54,52.7937387786,14.689,37.5130260521,38,1,94,4.2438174224,5.5674402574,0.7785294118,0.5882352941,0,CL - Normal,CL - Normal,399.0004161899,1,63.2352941176,0.368155,6036.24,67.04953125,41.1764705882,23.9215686275,63.67,57,34.5,31.2837587865,4.1617837074,37.9504254532,34.8131705512,161.8046875,-4.6137971698,0,-4.6875,8,0,Off,No Fault,37.6470588235,100,55.8125,No,1.0758
