HP Tuners CSV Log File
Version: 1.0

[Log Information]
Creation Time: 29/07/2026 9:33:07 AM
Notes: 

[Channel Information]
0,12,2114,13,2120,66,2127,15,14100,5,6200,6210,20,24,2630,3,259,10,68,2320,2321,2301,2311,67,69,16,11,14,76,6201,73,17,2146,8,7,6,6310,9,12865,12801,47,46,6215,12866,40152
Offset,Engine RPM (SAE),Accelerator Pedal Position,Vehicle Speed (SAE),Engine Oil Pressure,Control Module Voltage (SAE),Intake Air Temp,Intake Air Temp (SAE),Trans Current Gear,Engine Coolant Temp (SAE),Injector Pulse Width Avg. Bank 1,Injector Flow Rate,O2 Voltage B1S1 (SAE),O2 Voltage B2S1 (SAE),Knock Retard,Fuel System #1 Status (SAE),Fuel System #2 Status (SAE),Fuel Pressure (SAE),Equivalence Ratio Commanded (SAE),Dynamic Airflow,Cylinder Airmass,Mass Airflow Sensor,Volumetric Efficiency Airflow,Absolute Load (SAE),Relative Throttle Position (SAE),Mass Airflow (SAE),Intake Manifold Absolute Pressure (SAE),Timing Advance (SAE),Commanded Throttle Actuator (SAE),Injector Pulse Width Avg. Bank 2,Accelerator Position D (SAE),Throttle Position (SAE),Intake Valve Temp,Short Term Fuel Trim Bank 2 (SAE),Long Term Fuel Trim Bank 1 (SAE),Short Term Fuel Trim Bank 1 (SAE),Fuel Trim Cell,Long Term Fuel Trim Bank 2 (SAE),Power Enrichment,EVAP Status,Fuel Level Input (SAE),Commanded EVAP Purge (SAE),Injector Tip Temp,DFCO Active,MPVI2.1 -> Innovate - LC-1
s,rpm,%,km/h,psi,V,°C,°C,,°C,ms,g/s,V,V,°,,,kPa,λ,g/s,g,Hz,g/s,%,%,g/s,kPa,°,%,ms,%,%,°C,%,%,%,,%,,,%,%,°C,,λ

[Channel Data]
869.436,2634.7765957447,27.4509803922,27.7446808511,52.6635008045,14.5978510638,48,49,1,94.6530612245,4.2183652971,5.5728112046,0.8220408163,0.781122449,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,61.1359375,0.3476556122,5905.2448979592,65.2554209184,37.6470588235,23.5294117647,59.87,55,33.9901960784,30.5882352941,4.236906157,37.2549019608,34.5098039216,150.4453125,0,0,0,29,0,Off,No Fault,18.1393408427,0,62.625,No,1.0758
869.592,2729.25,27.4509803922,28,53.9540407298,14.567,48,49,1,94,4.056612278,5.5916748047,0.12,0.08,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,60.7421875,0.334645,5920.84,64.1534375,36.862745098,23.5294117647,59.47,53,35.06,30.5882352941,4.0407039946,37.2549019608,34.5098039216,150.71875,0,0,0,25,0,Off,No Fault,17.6470588235,0,62.6328125,No,1.05492
869.613,2737.5,27.4509803922,28.3,53.9540407298,14.582,48,49,1,94,4.0340755431,5.5917753332,0.1165686275,0.078627451,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,60.7352941176,0.3325,5925,64.53125,36.862745098,23.5294117647,59.47,53,35.27,30.5882352941,4.0115388083,37.2549019608,34.5098039216,150.71875,0,0,0,25,0,Off,No Fault,17.4823529412,0,62.6328125,No,1.0552
869.624,2743.55,27.4509803922,28.52,53.9540407298,14.593,48,49,1,94,4.0175486042,5.5919333065,0.1111764706,0.0764705882,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,60.6594669118,0.3318529412,5921.9411764706,64.4696691176,36.862745098,23.5294117647,59.47,53,35.38,30.5882352941,4.0124226018,37.2549019608,34.5098039216,150.71875,0,0,0,25,0,Off,No Fault,17.3960784314,0,62.6328125,No,1.1016
869.634,2749.05,27.4509803922,28.72,53.9540407298,14.603,48,49,1,94,4.0025241143,5.5920769187,0.1062745098,0.0745098039,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,60.5905330882,0.3307745098,5916.8431372549,64.3670343137,36.6509803922,23.5294117647,59.2792,52.9215686275,35.5,30.5882352941,3.9980167673,37.2549019608,34.5098039216,150.7401960784,0,0,0,25,0,Off,No Fault,17.2549019608,0,62.6328125,No,1.0604
869.644,2756.75,27.4509803922,29,53.9540407298,14.617,48,49,1,94,3.9814898284,5.5922205308,0.101372549,0.0725490196,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,60.5215992647,0.3296960784,5911.7450980392,64.2643995098,36.4156862745,23.5294117647,59.0672,52.7254901961,35.5,30.5882352941,3.9829922774,37.2549019608,34.5098039216,150.7938112745,0,0,0,25,0,Off,No Fault,17.2549019608,0,62.6328125,No,1.0704
869.655,2761.1764705882,27.4509803922,29,53.9540407298,14.6204313725,48,49,1,94,3.9732410889,5.5924072266,0.095,0.07,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,60.390625,0.3285098039,5906.137254902,64.1515012255,36.1568627451,23.5294117647,58.834,52.5098039216,35.5,30.5882352941,3.9664653385,37.2549019608,34.5098039216,150.8527879902,0,0,0,25,0,Off,No Fault,17.2549019608,0,62.6328125,No,1.093
869.665,2767.5,27.4509803922,29,53.9540407298,14.6253333333,48,49,1,94,3.9614571752,5.5932275391,0.1086,0.0724,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,60.388962766,0.327,5899,64.0078125,35.6862745098,23.5294117647,58.41,52.3137254902,35.5,30.5882352941,3.9364163587,37.2549019608,34.5098039216,150.9064031863,0,0,0,25,0,Off,No Fault,17.2549019608,0,62.6328125,No,1.044
869.675,2773.8235294118,27.4509803922,29,53.9540407298,14.6302352941,48,49,1,94,3.9496732615,5.5942529297,0.1256,0.0754,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,60.3806515957,0.3265561224,5901.693877551,64.1034757653,35.6862745098,23.5294117647,58.41,52,35.5,30.5882352941,3.9364163587,37.2549019608,34.5098039216,150.9921875,0,0,0,25,0,Off,No Fault,17.2549019608,0,62.6328125,No,1.1272
869.684,2779.5147058824,27.4509803922,29,53.9540407298,14.6346470588,48,49,1,94,3.9390677392,5.5951757813,0.1409,0.0781,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,60.3731715426,0.3258903061,5905.7346938776,64.2469706633,35.6156862745,23.5294117647,58.5054,52,35.5,30.5882352941,3.9283031341,37.2549019608,34.5098039216,150.9921875,0,0,0,25,0,Off,No Fault,17.2549019608,0,62.6332908163,No,1.0472
869.695,2789,27.4509803922,29,53.9540407298,14.642,48,49,1,94,3.9213918687,5.5963037109,0.1596,0.0814,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,60.3640292553,0.3250765306,5910.6734693878,64.4223533163,35.5294117647,23.5294117647,58.622,52,35.59,30.5176470588,3.9183869708,37.1843137255,34.4392156863,150.9921875,0,0,0,25,0,Off,No Fault,17.231372549,0,62.6350446429,No,1.1116
869.705,2793.7142857143,27.4509803922,29.1224489796,53.9540407298,14.642,48,49,1,94,3.910353468,5.5975341797,0.18,0.085,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,60.3515625,0.3243367347,5915.1632653061,64.5817920918,35.4509803922,23.5294117647,58.728,52,35.69,30.4392156863,3.9093722768,37.1058823529,34.3607843137,150.9921875,0,0,0,25,0,Off,No Fault,17.1529411765,0,62.6366390306,No,1.058
869.714,2800.7857142857,27.0588235294,29.306122449,53.9540407298,14.642,48,49,1,94,3.8937958669,5.5978655134,0.2507142857,0.1192857143,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,60.3155048077,0.323375,5921,64.7890625,35.2941176471,23.5294117647,58.94,52,35.78,30.368627451,3.8913428889,37.0352941176,34.2901960784,150.9921875,0,0,0,25,0,Off,No Fault,17.0823529412,0,62.6380739796,No,1.0904
869.725,2809.4285714286,27.0588235294,29.5306122449,53.9540407298,14.642,48,49,1,94,3.8735587988,5.5983861806,0.3618367347,0.1731632653,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,60.2163461538,0.3220975,5904.76,64.66765625,35.2941176471,23.5294117647,58.94,52,35.89,30.2823529412,3.8913428889,36.9490196078,34.2039215686,150.9921875,0,0,0,25,0,Off,No Fault,16.9960784314,0,62.640625,No,1.0796
869.734,2816.5,26.6666666667,29.7142857143,53.9540407298,14.642,48,49,1,94,3.8570011977,5.5988121811,0.452755102,0.217244898,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,60.1352163462,0.320455,5883.88,64.5115625,34.9411764706,23.4666666667,58.3748,51.92,36,30.1960784314,3.8697076234,36.862745098,34.1176470588,150.9921875,0,0,0,25,0,Off,No Fault,16.862745098,0,62.640625,No,1.0388
869.744,2827.5,26.6666666667,30,53.9540407298,14.642,48,49,1,94,3.8312449292,5.599285515,0.5537755102,0.2662244898,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,60.0450721154,0.31863,5860.68,64.338125,34.5490196078,23.3098039216,57.7468,51.72,36.08,30.0705882353,3.8456684396,36.8,34.0549019608,150.9921875,0,0,0,25,0,Off,No Fault,16.862745098,0,62.640625,No,1.1012
869.755,2830.5625,26.2745098039,30,53.9540407298,14.6319038462,48,49,1,94,3.8049520719,5.5998535156,0.675,0.325,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,59.8828125,0.3166225,5835.16,64.14734375,34.1176470588,23.137254902,57.056,51.5,36.19,29.8980392157,3.8192253373,36.7137254902,33.968627451,150.9921875,0,0,0,25,0,Off,No Fault,16.862745098,0,62.640625,No,1.0466
869.764,2834.5,26.2745098039,30,53.9540407298,14.6189230769,48,49,1,94,3.7711469696,5.6024780273,0.6833333333,0.3725,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,59.8015625,0.31425,5805,63.921875,33.7647058824,22.9960784314,56.4908,51.32,36.28,29.7568627451,3.7975900718,36.6431372549,33.8980392157,150.9921875,0,0,0,25,0,Off,No Fault,16.862745098,0,62.640625,No,1.1116
869.774,2838.875,26.2745098039,30,53.9540407298,14.6045,48,49,1,94,3.7335857448,5.605758667,0.69375,0.431875,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,59.3953125,0.312855,5801.52,63.9865625,33.3333333333,22.7450980392,55.8,51,36.38,29.6,3.7711469696,36.5647058824,33.8196078431,150.9921875,0,0,0,25,0,Off,No Fault,16.862745098,0,62.640625,No,1.0616
869.784,2843.25,26.2745098039,30,53.9540407298,14.5900769231,48,49,1,94,3.69602452,5.6090393066,0.7041666667,0.49125,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,58.9890625,0.31053,5795.72,64.094375,33.1892757103,22.7450980392,55.5612244898,50.84,36.5,29.4117647059,3.7407913675,36.4705882353,33.7254901961,150.9921875,0,0,0,25,0,Off,No Fault,16.862745098,0,62.640625,No,1.0934
869.794,2850.25,26.2745098039,30,53.9540407298,14.567,48,49,1,94,3.6359265603,5.6156005859,0.725,0.61,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,58.5828125,0.308205,5789.92,64.2021875,33.0292116847,22.7450980392,55.2959183673,50.44,36.58,29.4117647059,3.7070629207,36.4705882353,33.7254901961,150.9921875,0,0,0,25,0,Off,No Fault,16.8473663975,0,62.640625,No,1.0708
869.804,2851.637755102,26.2745098039,30,53.9540407298,14.5750816327,48,49,1,94,3.6297941154,5.6156005859,0.725,0.61,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,57.8515625,0.30588,5784.12,64.31,32.8691476591,22.7450980392,55.0306122449,50.04,36.68,29.4117647059,3.673334474,36.4705882353,33.7254901961,150.9921875,0,0,0,25,0,Off,No Fault,16.770472895,0,62.640625,No,1.0544
869.812,2854.4132653061,26.2745098039,30,54.2325131981,14.591244898,48,49,1,94,3.6175292257,5.6173388672,0.7274,0.6236,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,57.8515625,0.302625,5776,64.4609375,32.5490196078,22.7450980392,54.5,49.72,36.76,29.4117647059,3.6058775805,36.4705882353,33.7254901961,150.9921875,0,0,0,25,0,Off,No Fault,16.708958093,0,62.640625,No,1.1124
869.824,2858.5765306122,26.2745098039,30,54.6502219005,14.6154897959,48,49,1,94,3.5991318911,5.6199462891,0.731,0.644,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,57.5328125,0.30156,5772.52,64.1403125,32.5490196078,22.7450980392,54.5,49,36.88,29.4117647059,3.6058775805,36.4705882353,33.7254901961,150.9921875,0,0,0,25,0,Off,No Fault,16.61668589,0,62.640625,No,1.0498
869.832,2861.3520408163,26.2745098039,30,54.9286943688,14.6316530612,48,49,1,94,3.5868670014,5.6216845703,0.7334,0.6576,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,57.3203125,0.30014,5767.88,63.7128125,32.4259900038,22.7450980392,54.3415686275,49,37,29.4117647059,3.5893801013,36.4705882353,33.7254901961,150.9921875,0,0,0,25,0,Off,No Fault,16.4705882353,0,62.640625,No,1.1168
869.843,2867.25,26.2745098039,30,55.3115940127,14.666,48,49,1,94,3.5608041107,5.624074707,0.7367,0.6763,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,57.028125,0.2981875,5761.5,63.125,32.2568242983,22.7450980392,54.1237254902,49,37.068627451,29.4117647059,3.5666960675,36.4705882353,33.7254901961,150.9921875,0,0,0,25,0,Off,No Fault,16.4705882353,0,62.640625,No,1.0586
869.853,2868.57,26.2745098039,30,55.6944936566,14.666,48,49,1,94,3.5547943147,5.6264648438,0.74,0.695,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,56.5234375,0.2964125,5755.7,62.590625,32.1030372933,22.7450980392,53.9256862745,49,37.1666666667,29.4117647059,3.5460742186,36.4705882353,33.7254901961,150.9921875,0,0,0,25,0,Off,No Fault,16.4705882353,0,62.640625,No,1.0946
869.862,2871.54,26.2745098039,30,55.6944936566,14.666,48,49,1,94,3.5412722738,5.6270845853,0.7476923077,0.7026923077,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,56.5234375,0.29375,5747,61.7890625,31.9646289889,22.7450980392,53.7474509804,49,37.2549019608,29.4117647059,3.5275145546,36.4705882353,33.7254901961,150.9921875,0,0,0,25,0,Off,No Fault,16.4705882353,0,62.640625,No,1.0662
869.873,2875.17,26.2745098039,30,55.6944936566,14.666,48,49,1,94,3.5247453349,5.62793673,0.7582692308,0.7132692308,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,56.3802083333,0.2933088235,5747,61.8273590686,31.7647058824,22.7450980392,53.49,49,37.362745098,29.4117647059,3.500706151,36.4705882353,33.7254901961,150.9921875,0,0,0,25,0,Off,No Fault,16.4705882353,0,62.640625,No,1.0616
869.883,2878.47,26.2745098039,30,55.6944936566,14.666,48,49,1,94,3.509720845,5.628711407,0.7678846154,0.7228846154,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,56.25,0.2924264706,5747,61.9039522059,31.6366546619,22.7450980392,53.5846938776,48.96,37.5,29.4117647059,3.4933472172,36.4705882353,33.7254901961,150.9921875,0,0,0,25,0,Off,No Fault,16.4705882353,0,62.640625,No,1.085
869.893,2883.75,26.2745098039,30,55.6944936566,14.666,48,49,1,94,3.4856816611,5.629486084,0.7775,0.7325,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,56.1197916667,0.2915441176,5747,61.9805453431,31.4765906363,22.7450980392,53.7030612245,48.76,37.5,29.3637454982,3.4841485499,36.4705882353,33.6774709884,150.9921875,0,0,0,25,0,Off,No Fault,16.4705882353,0,62.640625,No,1.04
869.903,2885.1785714286,26.2745098039,30.0816326531,55.6944936566,14.666,48,49,1,94,3.4783227273,5.6304931641,0.79,0.745,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,55.8984375,0.2906617647,5747,62.0571384804,31.3165266106,22.7450980392,53.8214285714,48.56,37.5,29.2837134854,3.4749498826,36.4705882353,33.5974389756,150.9921875,0,0,0,25,0,Off,No Fault,16.403838131,0,62.640625,No,1.1196
