HP Tuners CSV Log File
Version: 1.0

[Log Information]
Creation Time: 30/07/2026 5:22:59 AM
Notes: 

[Channel Information]
0,12,2114,13,2120,14100,15,66,2127,5,4100,6200,6210,20,24,2630,3,2320,68,10,2311,2321,2301,259,67,69,16,11,76,14,6201,73,17,6310,6,7,8,9,2146,6215,47,12801,12865,12866,46,40152
Offset,Engine RPM (SAE),Accelerator Pedal Position,Vehicle Speed (SAE),Engine Oil Pressure,Trans Current Gear,Intake Air Temp (SAE),Control Module Voltage (SAE),Intake Air Temp,Engine Coolant Temp (SAE),Trans Fluid Temp,Injector Pulse Width Avg. Bank 1,Injector Flow Rate,O2 Voltage B1S1 (SAE),O2 Voltage B2S1 (SAE),Knock Retard,Fuel System #1 Status (SAE),Dynamic Airflow,Equivalence Ratio Commanded (SAE),Fuel Pressure (SAE),Volumetric Efficiency Airflow,Cylinder Airmass,Mass Airflow Sensor,Fuel System #2 Status (SAE),Absolute Load (SAE),Relative Throttle Position (SAE),Mass Airflow (SAE),Intake Manifold Absolute Pressure (SAE),Commanded Throttle Actuator (SAE),Timing Advance (SAE),Injector Pulse Width Avg. Bank 2,Accelerator Position D (SAE),Throttle Position (SAE),Fuel Trim Cell,Short Term Fuel Trim Bank 1 (SAE),Long Term Fuel Trim Bank 1 (SAE),Short Term Fuel Trim Bank 2 (SAE),Long Term Fuel Trim Bank 2 (SAE),Intake Valve Temp,Injector Tip Temp,Fuel Level Input (SAE),EVAP Status,Power Enrichment,DFCO Active,Commanded EVAP Purge (SAE),MPVI2.1 -> Innovate - LC-1
s,rpm,%,km/h,psi,,°C,V,°C,°C,°C,ms,g/s,V,V,°,,g/s,λ,kPa,g/s,g,Hz,,%,%,g/s,kPa,%,°,ms,%,%,,%,%,%,%,°C,°C,%,,,,%,λ

[Channel Data]
312.673,3349.6887755102,26.2745098039,36,55.8337298907,1,53,15.3119591837,53,97,0,3.0199224736,5.6944775391,0.804,0.8692,0,OL - Not Ready,56.67578125,1,399.0004161899,56.676875,0.253825,5828.12,OL - Not Ready,28.0992396959,22.7450980392,56.3510204082,41,29.4117647059,38.6326530612,3.0199224736,36.4705882353,33.3333333333,25,0,0,0,0,157.2566964286,67.8046875,12.1568627451,No Fault,Off,No,0,1.04372
312.890,3413.19,26.2745098039,36.36,56.8547956077,1,53,15.312,53,97,0,2.9544156976,5.7061842315,0.8240816327,0.8624489796,0,OL - Not Ready,56.6015625,1,399.0004161899,56.609375,0.24925,5822,OL - Not Ready,27.8431372549,22.7450980392,55.8,39,29.4117647059,39,2.959824514,36.4705882353,33.3333333333,25,0,0,0,0,157.421875,67.796875,12.5490196078,No Fault,Off,No,0,1.0082666667
312.914,3423.75,26.2745098039,37,56.8547956077,1,53,15.264,53,97,0,2.944800024,5.705078125,0.775,0.87,0,OL - Not Ready,56.6015625,1,399.0004161899,56.609375,0.2488826531,5834.2448979592,OL - Not Ready,27.987194878,22.7450980392,56.1820408163,39,29.4117647059,39,2.9543053136,36.4705882353,33.3333333333,25,0,0,0,0,157.489375,67.796875,12.5490196078,No Fault,Off,No,0,0.9946
312.924,3424.443877551,26.2745098039,37,56.8547956077,1,53,15.2670612245,53,97,0,2.944800024,5.7051678093,0.7789795918,0.8693877551,0,OL - Not Ready,56.6015625,1,399.0004161899,56.609375,0.2487295918,5839.3469387755,OL - Not Ready,28.0672268908,22.7450980392,56.3942857143,39,29.4117647059,39,2.9512390911,36.4705882353,33.3333333333,25,0,0,0,0,157.545625,67.796875,12.5490196078,No Fault,Off,No,0,1.0142
312.934,3427.9132653061,26.2745098039,37,56.7751670425,1,53,15.2823673469,53,97,0,2.944800024,5.7053964652,0.7791176471,0.868627451,0,OL - Not Ready,56.6015625,1,399.0004161899,56.609375,0.2485,5847,OL - Not Ready,28.1472589036,22.7450980392,56.6065306122,39,29.4117647059,39,2.9481728687,36.4705882353,33.3333333333,25,0,0,0,0,157.601875,67.796875,12.5490196078,No Fault,Off,No,0,0.972
