HP Tuners CSV Log File
Version: 1.0

[Log Information]
Creation Time: 29/07/2026 3:14:35 AM
Notes: 

[Channel Information]
0,12,2114,13,2120,66,2127,15,14100,5,6200,6210,20,24,2630,3,259,10,68,2320,2321,2301,2311,67,69,16,11,14,76,6201,73,17,2146,8,7,6,6310,9,12865,12801,47,46,6215,12866,40152
Offset,Engine RPM (SAE),Accelerator Pedal Position,Vehicle Speed (SAE),Engine Oil Pressure,Control Module Voltage (SAE),Intake Air Temp,Intake Air Temp (SAE),Trans Current Gear,Engine Coolant Temp (SAE),Injector Pulse Width Avg. Bank 1,Injector Flow Rate,O2 Voltage B1S1 (SAE),O2 Voltage B2S1 (SAE),Knock Retard,Fuel System #1 Status (SAE),Fuel System #2 Status (SAE),Fuel Pressure (SAE),Equivalence Ratio Commanded (SAE),Dynamic Airflow,Cylinder Airmass,Mass Airflow Sensor,Volumetric Efficiency Airflow,Absolute Load (SAE),Relative Throttle Position (SAE),Mass Airflow (SAE),Intake Manifold Absolute Pressure (SAE),Timing Advance (SAE),Commanded Throttle Actuator (SAE),Injector Pulse Width Avg. Bank 2,Accelerator Position D (SAE),Throttle Position (SAE),Intake Valve Temp,Short Term Fuel Trim Bank 2 (SAE),Long Term Fuel Trim Bank 1 (SAE),Short Term Fuel Trim Bank 1 (SAE),Fuel Trim Cell,Long Term Fuel Trim Bank 2 (SAE),Power Enrichment,EVAP Status,Fuel Level Input (SAE),Commanded EVAP Purge (SAE),Injector Tip Temp,DFCO Active,MPVI2.1 -> Innovate - LC-1
s,rpm,%,km/h,psi,V,°C,°C,,°C,ms,g/s,V,V,°,,,kPa,λ,g/s,g,Hz,g/s,%,%,g/s,kPa,°,%,ms,%,%,°C,%,%,%,,%,,,%,%,°C,,λ

[Channel Data]
397.029,2524,25.4901960784,25,56.2746446321,15.364,34,34,1,95,3.7561224796,5.6257324219,0.805,0.805,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,51.9140625,0.307875,5669,53.1640625,34.4867358708,22.3529411765,51.0176470588,49,38,28.6274509804,3.7402141962,36.0784313725,32.9411764706,153.6796875,0,0,0,25,0,Off,No Fault,41.1764705882,0,50.8625,No,0.99472
397.053,2523.4,25.4901960784,25.48,56.2746446321,15.364,34,34,1,95,3.727275459,5.6259960938,0.8194,0.8194,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,51.8045343137,0.30762,5671.4,53.1959375,34.1176470588,22.3529411765,50.82,49,38,28.6274509804,3.7260734998,36.0784313725,32.9411764706,153.6796875,0,0,0,25,0,Off,No Fault,41.1764705882,0,50.8671875,No,0.9748
397.065,2523.1,25.4901960784,25.72,56.2746446321,15.364,34,34,1,95,3.7128519487,5.626171875,0.829,0.829,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,51.7034313725,0.30711,5676.2,53.2596875,34.0235294118,22.3529411765,50.8536,49,38,28.6274509804,3.7188617446,36.0784313725,32.9411764706,153.6796875,0,0,0,25,0,Off,No Fault,41.1764705882,0,50.8671875,No,1.0316
397.075,2522.75,25.4901960784,26,56.2746446321,15.364,34,34,1,95,3.69602452,5.6264648438,0.845,0.845,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,51.6191789216,0.306685,5680.2,53.3128125,33.9450980392,22.3529411765,50.8816,49,38,28.6274509804,3.7128519487,36.0784313725,32.9411764706,153.6796875,0,0,0,25,0,Off,No Fault,41.1764705882,0,50.8671875,No,0.9652
397.086,2523.8,25.4901960784,26,56.2746446321,15.35,34,34,1,95,3.6918176628,5.6264399314,0.8452040816,0.8451020408,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,51.484375,0.3062175,5684.6,53.37125,33.8588235294,22.3529411765,50.9124,49,38,28.6274509804,3.7062411731,36.0784313725,32.9411764706,153.6796875,0,0,0,25,0,Off,No Fault,41.1764705882,0,50.8671875,No,1.0482
397.095,2525.15,25.4901960784,26,56.2746446321,15.332,34,34,1,95,3.6864088464,5.6262157207,0.8470408163,0.8460204082,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,51.475,0.30575,5689,53.4296875,33.7254901961,22.3529411765,50.96,49,38,28.6274509804,3.69602452,36.0784313725,32.9411764706,153.6796875,0,0,0,25,0,Off,No Fault,41.1764705882,0,50.8671875,No,0.9548
397.105,2526.65,25.4901960784,26,56.2746446321,15.312,34,34,1,95,3.6803990505,5.6259665976,0.8490816327,0.8470408163,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,51.4515625,0.30561,5685.8,53.4234375,33.7411764706,22.3529411765,50.9544,49,38,28.6274509804,3.6948225608,36.0784313725,32.9411764706,153.6796875,0,0,0,25,0,Off,No Fault,41.1764705882,0,50.8671875,No,1.012
397.115,2528.15,25.4901960784,26,56.2746446321,15.292,34,34,1,95,3.6743892545,5.6257174745,0.851122449,0.8480612245,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,51.428125,0.305435,5681.8,53.415625,33.8196078431,22.3529411765,50.9264,49,38,28.6274509804,3.6888127648,36.0784313725,32.9411764706,153.6796875,0,0,0,25,0,Off,No Fault,41.1764705882,0,50.868125,No,0.9652
397.125,2530.25,25.4901960784,26,56.2746446321,15.264,34,34,1,95,3.6659755401,5.6252441406,0.855,0.85,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,51.4046875,0.30526,5677.8,53.4078125,33.8980392157,22.3529411765,50.8984,49,38,28.6274509804,3.6828029688,36.0784313725,32.9411764706,153.6796875,0,0,0,25,0,Off,No Fault,41.1764705882,0,50.8696875,No,0.9814
397.135,2531.18,25.4901960784,26.12,56.2746446321,15.279,34,34,1,95,3.6641726013,5.6253327014,0.855,0.8499019608,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,51.3671875,0.305085,5673.8,53.4,33.9764705882,22.3529411765,50.8704,49,38,28.6274509804,3.6767931729,36.0784313725,32.9411764706,153.6796875,0,0,0,25,0,Off,No Fault,41.1764705882,0,50.87125,No,0.9804
397.145,2532.73,25.4901960784,26.32,56.2746446321,15.304,34,34,1,95,3.6611677034,5.6262183096,0.855,0.8489215686,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,51.3640625,0.304875,5669,53.390625,34.1176470588,22.3529411765,50.82,49,38,28.6274509804,3.6659755401,36.0784313725,32.9411764706,153.6796875,0,0,0,25,0,Off,No Fault,41.1764705882,0,50.8728125,No,0.9576
397.155,2534.28,25.4901960784,26.52,56.2746446321,15.329,34,34,1,95,3.6581628054,5.6271039177,0.855,0.8479411765,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,51.35625,0.304515,5667.08,53.435625,34.1019607843,22.3529411765,50.82,49,38,28.6274509804,3.6647735809,36.0784313725,32.9411764706,153.6796875,0,0,0,25,0,Off,No Fault,41.1764705882,0,50.875,No,1.0074
397.165,2535.83,25.4901960784,26.72,56.2746446321,15.354,34,34,1,95,3.6551579074,5.6279895259,0.855,0.8469607843,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,51.3484375,0.304065,5664.68,53.491875,34.0235294118,22.3529411765,50.82,49,38,28.6274509804,3.658763785,36.0784313725,32.9411764706,153.706875,0,0,0,25,0,Off,No Fault,41.1764705882,0,50.875,No,0.9464
397.175,2538,25.4901960784,27,56.2746446321,15.389,34,34,1,95,3.6509510502,5.6297607422,0.855,0.845,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,51.340625,0.303615,5662.28,53.548125,33.9450980392,22.3529411765,50.82,49,38,28.6274509804,3.652753989,36.0784313725,32.9411764706,153.7521875,0,0,0,25,0,Off,No Fault,41.1764705882,0,50.875,No,1.0306
397.185,2539.77,25.4901960784,27,56.2746446321,15.389,34,34,1,95,3.6491481114,5.6297607422,0.855,0.845,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,51.328125,0.303165,5659.88,53.604375,33.8666666667,22.3529411765,50.82,49,38,28.6274509804,3.646744193,36.0784313725,32.9411764706,153.7975,0,0,0,25,0,Off,No Fault,41.1764705882,0,50.875,No,0.949
397.195,2542.72,25.4901960784,27,56.2746446321,15.389,34,34,1,95,3.6461432134,5.6292480469,0.852,0.845,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,51.3375,0.302625,5657,53.671875,33.7254901961,22.3529411765,50.82,49,38,28.6274509804,3.6359265603,36.0784313725,32.9411764706,153.8428125,0,0,0,25,0,Off,No Fault,41.1764705882,0,50.875,No,1.0078
397.205,2545.67,25.4901960784,27,56.2746446321,15.389,34,34,1,95,3.6431383155,5.6287353516,0.849,0.845,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,51.3609375,0.302505,5657,53.864375,33.7254901961,22.3529411765,50.8592,49,38,28.6274509804,3.6359265603,36.0784313725,32.9411764706,153.90625,0,0,0,25,0,Off,No Fault,41.1764705882,0,50.875,No,0.9586
397.215,2548.62,25.4901960784,27,56.2746446321,15.389,34,34,1,95,3.6401334175,5.6282226563,0.846,0.845,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,51.384375,0.302355,5657,54.105,33.7254901961,22.3529411765,51.0552,48.88,38,28.6274509804,3.6359265603,36.0784313725,32.9411764706,153.90625,0,0,0,25,0,Off,No Fault,41.1764705882,0,50.8759375,No,0.9802
397.225,2552.75,25.4901960784,27,56.2746446321,15.389,34,34,1,95,3.6359265603,5.6271972656,0.84,0.845,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,51.4078125,0.302205,5657,54.345625,33.7254901961,22.3529411765,51.2512,48.68,38,28.6274509804,3.6359265603,36.0784313725,32.9411764706,153.90625,0,0,0,25,0,Off,No Fault,41.2078431373,0,50.8775,No,0.9854
397.235,2557.22,25.4901960784,27,56.2746446321,15.389,34,34,1,95,3.6359265603,5.6271972656,0.84,0.845,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,51.4453125,0.302055,5657,54.58625,33.7254901961,22.3529411765,51.4472,48.48,38,28.6274509804,3.6359265603,36.0784313725,32.9411764706,153.90625,0,0,0,25,0,Off,No Fault,41.2862745098,0,50.8790625,No,0.9384
397.245,2564.67,25.4901960784,27,56.2746446321,15.389,34,34,1,95,3.6359265603,5.6281738281,0.842,0.842,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,51.5015625,0.301875,5657,54.875,33.7254901961,22.3529411765,51.8,48.28,38,28.6274509804,3.6359265603,36.0784313725,32.9411764706,153.90625,0,0,0,25,0,Off,No Fault,41.3647058824,0,50.880625,No,0.9954
397.255,2572.12,25.4901960784,27,56.2746446321,15.389,34,34,1,95,3.6359265603,5.6291503906,0.844,0.839,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,51.6421875,0.301695,5657,54.985,33.7098039216,22.3529411765,51.7832,48,38,28.6274509804,3.6353255807,36.0784313725,32.9411764706,153.90625,0,0,0,25,0,Off,No Fault,41.4431372549,0,50.8828125,No,0.9442
397.265,2579.57,25.4901960784,27,56.2746446321,15.389,34,34,1,95,3.6359265603,5.6301269531,0.846,0.836,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,51.7828125,0.30147,5657,55.1225,33.631372549,22.3529411765,51.6992,48,38,28.6274509804,3.6323206827,36.0784313725,32.9411764706,153.90625,0,0,0,25,0,Off,No Fault,41.568627451,0,50.8828125,No,1.0218
397.275,2590,25.4901960784,27,56.2746446321,15.389,34,34,1,95,3.6359265603,5.6320800781,0.85,0.83,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,51.9234375,0.301245,5657,55.26,33.5529411765,22.3529411765,51.6152,48,38,28.6274509804,3.6293157847,36.0784313725,32.9411764706,153.90625,0,0,0,25,0,Off,No Fault,41.568627451,0,50.8828125,No,0.9508
397.285,2594.26,25.4901960784,27,56.2746446321,15.383,34,34,1,95,3.6341236215,5.6320800781,0.85,0.83,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,52.1484375,0.30102,5657,55.3975,33.4745098039,22.3529411765,51.5312,48,38,28.6274509804,3.6263108867,36.0784313725,32.9411764706,153.90625,0,0,0,25,0,Off,No Fault,41.568627451,0,50.8828125,No,1.0042
397.295,2601.36,25.4901960784,27,56.3906748273,15.373,34,34,1,95,3.6311187235,5.6328369141,0.842,0.827,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,52.1734375,0.30075,5657,55.5625,33.3333333333,22.3529411765,51.38,48,38,28.6274509804,3.6209020704,36.0784313725,32.9411764706,153.90625,0,0,0,25,0,Off,No Fault,41.568627451,0,50.8828125,No,0.9656
397.305,2608.46,25.4901960784,27,56.5067050224,15.363,34,34,1,95,3.6281138255,5.63359375,0.834,0.824,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,52.2359375,0.30053,5657,55.45875,33.3176470588,22.3529411765,51.38,48,38,28.6274509804,3.6203010908,36.0784313725,32.9411764706,153.90625,0,0,0,25,0,Off,No Fault,41.568627451,0,50.8828125,No,0.9666
397.315,2615.56,25.4901960784,27,56.6227352175,15.353,34,34,1,95,3.6251089276,5.6343505859,0.826,0.821,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,52.2984375,0.300255,5657,55.3290625,33.2392156863,22.3529411765,51.38,48,38,28.6274509804,3.6172961928,36.0784313725,32.9411764706,153.90625,0,0,0,25,0,Off,No Fault,41.568627451,0,50.88375,No,0.9776
397.324,2625.5,25.4901960784,27,56.8547956077,15.339,34,34,1,95,3.6209020704,5.6358642578,0.81,0.815,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,52.3546875,0.3000075,5657,55.21234375,33.168627451,22.3529411765,51.38,48,38,28.6274509804,3.6145917846,36.0784313725,32.9411764706,153.90625,0,0,0,25,0,Off,No Fault,41.568627451,0,50.88515625,No,0.945
397.335,2628.92,25.4901960784,27.12,56.8547956077,15.342,34,34,1,95,3.6172961928,5.6358642578,0.81,0.815,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,52.4609375,0.299705,5657,55.0696875,33.0823529412,22.3529411765,51.38,48,38,28.6274509804,3.6112863968,36.0784313725,32.9411764706,153.90625,0,0,0,25,0,Off,No Fault,41.568627451,0,50.886875,No,1.0036
397.345,2634.62,25.4901960784,27.32,56.8547956077,15.347,34,34,1,95,3.6112863968,5.6357177734,0.813,0.814,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,52.4765625,0.299375,5657,54.9140625,32.9411764706,22.3529411765,51.38,48,38,28.6274509804,3.6058775805,36.0784313725,32.9411764706,153.90625,0,0,0,25,0,Off,No Fault,41.568627451,0,50.8884375,No,0.9426
397.355,2640.32,25.4901960784,27.52,56.8547956077,15.352,34,34,1,95,3.6052766009,5.6355712891,0.816,0.813,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,52.515625,0.298875,5657,55.0115625,32.9568627451,22.3529411765,51.38,48,38,28.6274509804,3.6040746417,36.0784313725,32.9411764706,153.90625,0,0,0,25,0,Off,No Fault,41.568627451,0,50.890625,No,1.0238
397.366,2646.59,25.4901960784,27.74,56.8547956077,15.3575,34,34,1,95,3.5986658253,5.6354101563,0.8193,0.8119,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,52.55859375,0.2981875,5657,55.145625,33.0431372549,22.3529411765,51.38,47.862745098,38,28.6274509804,3.5941584783,36.0784313725,32.9411764706,153.90625,0,0,0,25,0,Off,No Fault,41.568627451,0,50.890625,No,0.9512
397.375,2654,25.4901960784,28,56.8547956077,15.364,34,34,1,95,3.5908530905,5.6351318359,0.825,0.81,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,52.59375,0.297625,5657,55.2553125,33.1137254902,22.3529411765,51.38,47.6862745098,38,28.6274509804,3.5860452538,36.0784313725,32.9411764706,153.90625,0,0,0,25,0,Off,No Fault,41.568627451,0,50.890625,No,0.9988
397.385,2657.46875,25.4901960784,28,56.8547956077,15.367125,34,34,1,95,3.5833408456,5.6351318359,0.825,0.81,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,52.65625,0.297,5657,55.3771875,33.1921568627,22.3529411765,51.38,47.4901960784,38,28.6274509804,3.5770305598,36.0784313725,32.9411764706,153.90625,0,0,0,25,0,Off,No Fault,41.568627451,0,50.890625,No,0.9622
