HP Tuners CSV Log File
Version: 1.0

[Log Information]
Creation Time: 29/07/2026 12:20:17 AM
Notes: 

[Channel Information]
0,12,2114,13,2120,66,2127,15,14100,5,6200,6210,20,24,2630,3,259,10,68,2320,2321,2301,2311,67,69,16,11,14,76,6201,73,17,2146,8,7,6,6310,9,12865,12801,47,46,6215,12866,40152
Offset,Engine RPM (SAE),Accelerator Pedal Position,Vehicle Speed (SAE),Engine Oil Pressure,Control Module Voltage (SAE),Intake Air Temp,Intake Air Temp (SAE),Trans Current Gear,Engine Coolant Temp (SAE),Injector Pulse Width Avg. Bank 1,Injector Flow Rate,O2 Voltage B1S1 (SAE),O2 Voltage B2S1 (SAE),Knock Retard,Fuel System #1 Status (SAE),Fuel System #2 Status (SAE),Fuel Pressure (SAE),Equivalence Ratio Commanded (SAE),Dynamic Airflow,Cylinder Airmass,Mass Airflow Sensor,Volumetric Efficiency Airflow,Absolute Load (SAE),Relative Throttle Position (SAE),Mass Airflow (SAE),Intake Manifold Absolute Pressure (SAE),Timing Advance (SAE),Commanded Throttle Actuator (SAE),Injector Pulse Width Avg. Bank 2,Accelerator Position D (SAE),Throttle Position (SAE),Intake Valve Temp,Short Term Fuel Trim Bank 2 (SAE),Long Term Fuel Trim Bank 1 (SAE),Short Term Fuel Trim Bank 1 (SAE),Fuel Trim Cell,Long Term Fuel Trim Bank 2 (SAE),Power Enrichment,EVAP Status,Fuel Level Input (SAE),Commanded EVAP Purge (SAE),Injector Tip Temp,DFCO Active,MPVI2.1 -> Innovate - LC-1
s,rpm,%,km/h,psi,V,°C,°C,,°C,ms,g/s,V,V,°,,,kPa,λ,g/s,g,Hz,g/s,%,%,g/s,kPa,°,%,ms,%,%,°C,%,%,%,,%,,,%,%,°C,,λ

[Channel Data]
451.270,2656,27.0588235294,27,59.45955509,15.364,24,24,1,91,4.0415877881,5.6023248166,0.817244898,0.8196938776,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,58.8775510204,0.3336581633,5937.4285714286,61.4988839286,38.3721790603,23.137254902,59.1303773585,51,37,30.1960784314,4.0543444305,37.2549019608,34.1176470588,153.3203125,0,0,0,25,0,Off,No Fault,38.8235294118,0,40.578125,No,0.9334
451.294,2657.4117647059,27.0588235294,27.1176470588,59.1753995101,15.364,24,24,1,91,4.0433553751,5.6008300781,0.805,0.805,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,59.140625,0.33375,5886,61.2578125,38.1945985942,23.3254901961,59.311509434,50.52,37,30.1960784314,4.0475408879,37.2549019608,34.1176470588,153.4290625,0,0,0,25,0,Off,No Fault,38.8235294118,0,40.585625,No,0.908
451.309,2660.9411764706,27.4509803922,27.4117647059,59.1753995101,15.364,24,24,1,91,4.0477743428,5.6021850586,0.796,0.796,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,59.21796875,0.3338235294,5886.7647058824,61.2738970588,38.0392156863,23.4431372549,59.47,50.22,37,30.1960784314,4.0415877881,37.2549019608,34.1176470588,153.49703125,0,0,0,25,0,Off,No Fault,38.8235294118,0,40.5903125,No,0.9502
451.319,2663.2941176471,27.4509803922,27.6078431373,59.1753995101,15.364,24,24,1,91,4.0507203212,5.6030883789,0.79,0.79,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,59.30390625,0.3340686275,5889.3137254902,61.3275122549,37.9390905298,23.5294117647,59.5040425532,50,37,30.1960784314,4.0428664681,37.2549019608,34.1176470588,153.546875,0,0,0,25,0,Off,No Fault,38.8235294118,0,40.59375,No,0.908
451.329,2668,27.4509803922,28,59.1753995101,15.364,24,24,1,91,4.056612278,5.6039916992,0.784,0.784,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,59.38984375,0.3343137255,5891.862745098,61.381127451,37.6887776387,23.5294117647,59.5891489362,50.18,37,30.1960784314,4.0460631681,37.2549019608,34.1176470588,153.546875,0,0,0,25,0,Off,No Fault,38.8235294118,0,40.59375,No,0.997
451.339,2668,27.4509803922,28,59.1753995101,15.364,24,24,1,91,4.056612278,5.6053466797,0.775,0.775,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,59.47578125,0.3345588235,5894.4117647059,61.4347426471,37.4384647476,23.5294117647,59.6742553191,50.38,37,30.1960784314,4.0492598681,37.2549019608,34.1176470588,153.546875,0,0,0,25,0,Off,No Fault,38.8235294118,0,40.59375,No,0.9312
451.348,2673.0969387755,27.4509803922,28,59.2218115881,15.3594081633,24,24,1,91,4.0538526778,5.6050341797,0.7758,0.7746,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,59.5703125,0.335,5899,61.53125,37.2131831456,23.5294117647,59.7508510638,50.56,37,30.1960784314,4.052136898,37.2549019608,34.1176470588,153.546875,0,0,0,25,0,Off,No Fault,38.8235294118,0,40.59375,No,0.98
451.358,2678.7602040816,27.4509803922,28,59.3378417833,15.3543061224,24,24,1,91,4.0507864554,5.6042529297,0.7778,0.7736,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,59.6328125,0.3349719388,5899.6326530612,61.5691964286,36.862745098,23.5294117647,59.87,50.76,37,30.1960784314,4.056612278,37.2549019608,34.1176470588,153.546875,0,0,0,25,0,Off,No Fault,38.8235294118,0,40.59375,No,0.9532
451.368,2684.4234693878,27.4509803922,28,59.4538719784,15.3492040816,24,24,1,91,4.047720233,5.6034716797,0.7798,0.7726,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,59.7109375,0.3346913265,5905.9591836735,61.9486607143,36.9098039216,23.5294117647,59.87,51,37,30.1960784314,4.0548093392,37.2549019608,34.1176470588,153.546875,0,0,0,25,0,Off,No Fault,38.8235294118,0,40.59375,No,0.9428
451.378,2695.75,27.4509803922,28,59.5699021735,15.339,24,24,1,91,4.0415877881,5.6026904297,0.7818,0.7716,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,59.7890625,0.3344107143,5912.2857142857,62.328125,36.9882352941,23.5294117647,59.87,50.8431372549,37,30.1960784314,4.0518044412,37.2549019608,34.1176470588,153.546875,0,0,0,25,0,Off,No Fault,38.8235294118,0,40.5962009804,No,0.9792
451.389,2696.5,27.4509803922,28.02,59.7555504857,15.3385,24,24,1,91,4.0412872983,5.6014404297,0.785,0.77,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,59.875,0.3341020408,5919.2448979592,62.7455357143,37.0745098039,23.5294117647,59.87,50.6274509804,37,30.1960784314,4.0484990535,37.2549019608,34.1176470588,153.546875,0,0,0,25,0,Off,No Fault,38.8235294118,0,40.5995710784,No,0.9194
451.398,2703.25,27.4509803922,28.2,59.7555504857,15.334,24,24,1,91,4.0385828901,5.6013407805,0.7858163265,0.7716326531,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,59.9609375,0.333625,5930,63.390625,37.1450980392,23.5294117647,59.87,50.4509803922,37,30.1960784314,4.0457946453,37.2549019608,34.1176470588,153.546875,0,0,0,25,0,Off,No Fault,38.8235294118,0,40.6023284314,No,0.999
451.408,2710.75,27.4509803922,28.4,59.7555504857,15.329,24,24,1,91,4.0355779921,5.6010916574,0.7878571429,0.7757142857,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,60.0609375,0.3335612745,5930,63.425245098,37.2549019608,23.5294117647,59.87,50.2549019608,37,30.1960784314,4.0415877881,37.2549019608,34.1176470588,153.546875,0,0,0,25,0,Off,No Fault,38.8235294118,0,40.6053921569,No,0.9314
451.419,2719,27.4509803922,28.62,59.7555504857,15.3235,24,24,1,91,4.0322726043,5.600817622,0.7901020408,0.7802040816,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,60.1984375,0.3332107843,5930,63.6156556373,37.1450980392,23.5294117647,59.7958,50,37,30.1960784314,4.0373809309,37.2549019608,34.1176470588,153.546875,0,0,0,25,0,Off,No Fault,38.8235294118,0,40.609375,No,0.9864
451.428,2733.25,27.4509803922,29,59.7555504857,15.314,24,24,1,91,4.0265632982,5.6005934112,0.7919387755,0.783877551,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,60.3109375,0.3329240196,5930,63.7714460784,37.0039215686,23.5294117647,59.7004,50,37,30.1960784314,4.0319721145,37.2549019608,34.1176470588,153.546875,0,0,0,25,0,Off,No Fault,38.8235294118,0,40.609375,No,0.9456
451.439,2734.07,27.4509803922,29,59.7555504857,15.315,24,24,1,91,4.0259623186,5.6002197266,0.795,0.79,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,60.4484375,0.3325735294,5930,63.9618566176,36.831372549,23.5294117647,59.5838,50,37,30.1960784314,4.025361339,37.2549019608,34.1176470588,153.546875,0,0,0,25,0,Off,No Fault,38.8784313725,0,40.609375,No,0.9566
451.448,2741.45,27.4509803922,29,59.9261831256,15.324,24,24,1,91,4.0205535022,5.6008540135,0.7974509804,0.7919607843,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,60.5859375,0.332,5930,64.2734375,36.6901960784,23.5294117647,59.4884,50,37,30.1960784314,4.0199525226,37.2549019608,34.1176470588,153.546875,0,0,0,25,0,Off,No Fault,38.9490196078,0,40.609375,No,0.9624
451.459,2750.47,27.4509803922,29,60.3015749333,15.335,24,24,1,91,4.0139427266,5.6022494447,0.8028431373,0.7962745098,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,60.6548713235,0.331865,5929.8,64.2721875,36.4705882353,23.5294117647,59.34,50,37,30.1960784314,4.0115388083,37.2549019608,34.1176470588,153.546875,0,0,0,25,0,Off,No Fault,39.0352941176,0,40.609375,No,0.9212
451.468,2757.85,27.4509803922,29,60.6087136851,15.344,24,24,1,91,4.0085339103,5.6033911612,0.807254902,0.7998039216,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,60.7238051471,0.3312575,5928.9,64.2665625,36.4235294118,23.5294117647,59.34,50,37,30.1960784314,4.0043270531,37.2549019608,34.1176470588,153.546875,0,0,0,25,0,Off,No Fault,39.1058823529,0,40.609375,No,0.99
451.479,2774.25,27.4509803922,29,60.9841054928,15.364,24,24,1,91,3.9965143183,5.6047865924,0.8126470588,0.8041176471,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,60.808057598,0.330515,5927.8,64.2596875,36.337254902,23.5294117647,59.34,50,37.0212765957,30.1960784314,3.991105502,37.2549019608,34.1176470588,153.546875,0,0,0,25,0,Off,No Fault,39.2156862745,0,40.61078125,No,0.9248
451.489,2774.885,27.4509803922,29,61.4960034124,15.364,24,24,1,91,3.9950118693,5.6066894531,0.82,0.81,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,60.8846507353,0.32984,5926.8,64.2534375,36.2588235294,23.5294117647,59.34,50,37.1276595745,30.1960784314,3.97908591,37.2549019608,34.1176470588,153.546875,0,0,0,25,0,Off,No Fault,39.2156862745,0,40.61234375,No,0.998
451.499,2781.235,27.4509803922,29,61.4960034124,15.364,24,24,1,91,3.9799873794,5.606652832,0.8185,0.812,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,60.9765625,0.328625,5925,64.2421875,36.1803921569,23.5294117647,59.34,50,37.2340425532,30.1960784314,3.9670663181,37.2549019608,34.1176470588,153.546875,0,0,0,25,0,Off,No Fault,39.2156862745,0,40.61390625,No,0.9356
451.508,2786.95,27.4509803922,29,61.4960034124,15.364,24,24,1,91,3.9664653385,5.6065869141,0.8158,0.8156,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,60.9542410714,0.3285153061,5924.9183673469,64.2584502551,36.0784313725,23.5294117647,59.34,50,37.329787234,30.1960784314,3.9514408486,37.2549019608,34.1176470588,153.546875,0,0,0,25,0,Off,No Fault,39.2156862745,0,40.6153125,No,0.9762
451.519,2793.935,27.4509803922,29,61.4960034124,15.364,24,24,1,91,3.9499383996,5.6065063477,0.8125,0.82,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,60.9191645408,0.3273086735,5924.0204081633,64.4373405612,35.968627451,23.5294117647,59.396,50,37.5,30.1960784314,3.9430271342,37.2549019608,34.1176470588,153.546875,0,0,0,25,0,Off,No Fault,39.2156862745,0,40.6171875,No,0.95
451.528,2806,27.4509803922,29,61.4960034124,15.364,24,24,1,91,3.9213918687,5.6064404297,0.8098,0.8236,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,60.8904655612,0.3263214286,5923.2857142857,64.5837053571,35.8274509804,23.5294117647,59.468,50,37.5,30.1960784314,3.9322095015,37.2549019608,34.1176470588,153.585625,0,0,0,25,0,Off,No Fault,39.2156862745,0,40.6171875,No,0.9314
451.539,2806.7401960784,27.4509803922,29,61.4960034124,15.364,24,24,1,91,3.9205080752,5.6063232422,0.805,0.83,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,60.8553890306,0.3251147959,5922.387755102,64.7625956633,35.6549019608,23.5294117647,59.556,50,37.5,30.1960784314,3.9189879504,37.2549019608,34.1176470588,153.63890625,0,0,0,25,0,Off,No Fault,39.2705882353,0,40.6171875,No,0.9826
451.548,2813.4019607843,27.4509803922,29,61.4495913344,15.364,24,24,1,91,3.9125539335,5.6063525391,0.8086,0.8328,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,60.8203125,0.32325,5921,65.0390625,35.5137254902,23.5294117647,59.628,50,37.5,30.1960784314,3.9081703176,37.2549019608,34.1176470588,153.6825,0,0,0,25,0,Off,No Fault,39.3411764706,0,40.6171875,No,0.92
451.558,2820.8039215686,27.4509803922,29,61.3335611393,15.364,24,24,1,91,3.9037159983,5.6064257813,0.8176,0.8398,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,60.8453125,0.323175,5921.72,65.0753125,35.2941176471,23.5294117647,59.74,50,37.5,30.1960784314,3.8913428889,37.2549019608,34.1176470588,153.7309375,0,0,0,25,0,Off,No Fault,39.4196078431,0,40.6171875,No,1.0018
451.568,2828.2058823529,27.4509803922,29,61.2175309442,15.364,24,24,1,91,3.894878063,5.6064990234,0.8266,0.8468,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,60.8765625,0.3228,5925.32,65.2565625,35.2941176471,23.5294117647,59.788,50,37.5,30.1960784314,3.8877370113,37.2549019608,34.1176470588,153.7890625,0,0,0,25,0,Off,No Fault,39.4980392157,0,40.6171875,No,0.9294
451.578,2843.75,27.4509803922,29,61.101500749,15.364,24,24,1,91,3.876318399,5.6065722656,0.8356,0.8538,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,60.9078125,0.322425,5928.92,65.4378125,35.2941176471,23.5294117647,59.868,49.84,37.5,30.1960784314,3.8817272154,37.2549019608,34.1176470588,153.7890625,0,0,0,25,0,Off,No Fault,39.6078431373,0,40.6196875,No,0.9856
451.589,2843.75,27.4509803922,29,60.9158524369,15.364,24,24,1,91,3.876318399,5.6066894531,0.85,0.865,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,60.9421875,0.3220125,5932.88,65.6371875,35.2941176471,23.5294117647,59.956,49.62,37.5,30.1960784314,3.8751164398,37.2549019608,34.1176470588,153.7890625,0,0,0,25,0,Off,No Fault,39.6078431373,0,40.623125,No,0.941
451.598,2847.7448979592,27.4509803922,29.1836734694,60.9158524369,15.3548163265,24,24,1,91,3.8735587988,5.6068652344,0.8484,0.865,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,60.9765625,0.321375,5939,65.9453125,35.2941176471,23.5294117647,60.028,49.44,37.5,30.1960784314,3.8697076234,37.2549019608,34.1176470588,153.7890625,0,0,0,25,0,Off,No Fault,39.6078431373,0,40.6259375,No,0.9536
451.608,2852.1836734694,27.4509803922,29.387755102,60.9158524369,15.3446122449,24,24,1,91,3.8704925764,5.6073046875,0.8444,0.865,0,OL - Not Ready,OL - Not Ready,399.0004161899,1,60.9703125,0.3212573529,5939,65.9667585784,35.2941176471,23.5294117647,60.14,49.24,37.5,30.1960784314,3.8612939091,37.2549019608,34.1176470588,153.7890625,0,0,0,25,0,Off,No Fault,39.6078431373,0,40.6290625,No,0.966
