MAP_Cell,800,1200,1600,2000,2400,2800,3200,3600,4000
20,,,47.43,46.23,47.5,44.01,,,
25,,48.49,55.32,54.53,54.54,56.61,,,
30,,50.03,59.87,58.45,59.99,60.55,60.67,,
35,,54.99,60.16,59.91,60.38,64.92,63.02,,
40,,59.24,60.3,60.99,61.42,67.49,75.21,,
45,,60.11,60.95,61.7,65.08,73.05,72.82,,
50,64.31,60.83,62.28,64.04,69.35,75.58,85.74,82.31,
55,65.68,61.71,62.62,65.75,73.29,78.25,78.98,,
60,58.91,62.08,64.81,69.98,73.66,78.84,,,
65,58.34,62.69,67.79,71.0,78.93,80.31,,,
70,62.82,62.69,66.34,75.29,79.73,82.03,,,
75,63.77,66.9,74.07,76.23,,,,,
80,,69.55,77.02,77.29,,,,,
